t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1562601600,231.0001,-0.17026696783491957,,,,,,,-0.7464722607753635,-0.11732141415693109,-0.11732141415693109,-0.11732141415693109,-0.11732141415693109,-0.11732141415693109,,,,,,,,,-0.8576512455516075,-0.4768583342897438,-0.49263116201540524,-0.4333874618103488,-0.6494782806070427,-0.5322874639031578,0.2284517058331832,0.08833409447533902,0.07939830638752299,0.09198437106327884,0.014565473288711273,0.8385995148729746,,,,,,,,,,231.0001
1562605200,230.9,-0.16601887830250917,,,,,,,,-0.12670757782534525,-0.12670757782534525,-0.12670757782534525,-0.12670757782534525,-0.12670757782534525,,,,,,,,,-0.8603815075306781,-0.7699121210273672,-0.47827119952820507,-0.42693380264611813,-0.632375609871064,-0.5576428156239046,0.21430068156811255,0.13299256682990768,0.08285242488600386,0.09163337056740195,0.024194353025557502,0.024227376551073654,,,,,,,,,,230.9
1562608800,230.4,-0.16397202277610745,,,,,,,,-0.1492343706295387,-0.1492343706295387,-0.1492343706295387,-0.1492343706295387,-0.1492343706295387,,,,,,,,,,-0.925999925999929,-0.4013076859411493,-0.4641327124996607,-0.5956875970459069,-0.5566411195444644,0.04952249081058957,0.20390932211822266,0.08776009499426829,0.08094894438234324,0.04219632175344934,0.022373433095831174,,,,,,,,,,230.4
1562612400,230.82,-0.1640377920776075,,,,,,,,-0.18582550707778078,-0.15599616293626384,-0.15599616293626384,-0.15599616293626384,-0.15599616293626384,,,,,,,,,,-0.9184572104211719,-0.31729253181140704,-0.5344984877219596,-0.5566080109162149,-0.6203717180410353,-0.1763376337930308,0.21163367419452617,0.07631976016667541,0.07105912758772437,0.04219870851906249,0.01354215621599364,0.8355817273763844,,,,,,,,,230.82
1562616000,230.63,-0.16567486903360873,,,,,,,,-0.21971179994460044,-0.16613321969815043,-0.16613321969815043,-0.16613321969815043,-0.16613321969815043,,,,,,,,,,-0.9093063066127084,-0.2907984659303813,-0.5355551191213493,-0.5136074044737347,-0.6637599677496462,-0.5544608541272322,0.220053447145089,0.05222501475295527,0.0686081802215952,0.060452688322387926,-0.00021969202107341435,0.835182805746993,,,,,,,,,230.63
1562619600,230.53,-0.1679490976993634,-0.7524045329015456,-0.9607843137254746,-0.9764937753708915,-0.9764937753708915,-0.9821551132463892,-0.9891801914273779,-0.9916290780073307,-0.8151403026416862,-0.1612524145905736,-0.1612524145905736,-0.1612524145905736,-0.1612524145905736,-0.1612524145905736,,,,,,,,,-0.8923283983849319,-0.5404953123424738,-0.527887834392941,-0.4683455419928927,-0.6631790805297604,-0.5490056677923164,0.2064558251802988,0.07140063388146056,0.06365587793542837,0.07640113691464734,0.001099909954043632,0.8345850802702335,,,,,,,,,230.53
1562623200,231.1073,-0.1696597643598352,0.85425461008712,-0.8442910447760748,-0.911784291135066,-0.9245450189405695,-0.942717913520915,-0.9583322932216203,-0.9731293404035342,-0.9731293404035342,-0.15046583530283053,-0.15046583530283053,-0.15046583530283053,-0.15046583530283053,-0.15046583530283053,,,,,,,,-0.8181945318508659,-0.8519553072625626,-0.7752598398364171,-0.49771601827184275,-0.446465972241603,-0.638434825832068,-0.5650777181395427,0.19956693974077133,0.12078573543796889,0.07240454437839738,0.08134721743503182,0.015252750319534991,0.015578470983846904,,,,,,,,,231.1073
1562626800,230.9,-0.16951084921393544,1,-0.6392125984251815,-0.8342037655742921,-0.8757243985570697,-0.9048719723183304,-0.9178848141267193,-0.9557435793418481,-0.9557435793418481,-0.14032877854094716,-0.14032877854094716,-0.14032877854094716,-0.14032877854094716,-0.14032877854094716,,,,,,,,-0.4312389259914551,-0.8815716657442946,-0.8668697366063265,-0.4033034192888638,-0.46242919409199,-0.5896615015794802,-0.552964073830573,0.041089340296923016,0.1950324922400648,0.0815594261944792,0.07496604899453252,0.03695175918699034,0.017604692865351934,,,,,,,,,230.9
1562630400,230.34,-0.1662987224961796,0.4471118870947226,-0.45049723756892657,-0.8499849170436995,-0.9100796499380448,-0.9276654545454333,-0.9317364447494649,-0.9676130498633896,-0.967978003792662,-0.177071398173272,-0.14746226292893794,-0.14746226292893794,-0.14746226292893794,-0.14746226292893794,,,,,,,,0.20854580622473629,-0.7726919451655988,-0.8013737418022996,-0.2860604288295301,-0.5038269611134192,-0.5326426982133703,-0.600950060048234,-0.16995287635109335,0.21159990500393677,0.07754959186577981,0.07230752772984039,0.04363060916053452,0.015135159205390103,0.8347221115680719,,,,,,,,230.34
1562634000,230.0301,-0.15908359595761112,,,,,,,,,-0.24248427740871847,-0.1879053649433975,-0.1879053649433975,-0.1879053649433975,-0.1879053649433975,,,,,,,,0.19811731892280382,-0.7067394875514525,-0.7818462711422248,-0.26045610922386364,-0.5050842549186294,-0.48902283346980735,-0.6429575212898342,-0.537984478372947,0.21980982398603932,0.05362455287789425,0.0697937162197817,0.06166866708805885,0.001432803130822391,0.8343020400864214,,,,,,,,230.0301
