t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1562785200,34.64,0.05539675242551567,-0.34673366834173935,-0.5038167938931588,-0.5038167938931588,-0.5038167938931588,-0.5038167938931588,-0.5038167938931588,-0.5038167938931588,-0.5038167938931588,-0.5038167938931588,,,,,,,,,,,,-0.6903225806451789,-0.37777777777779764,-0.029520295202960845,-0.25177809388336825,-0.05128205128206187,-0.15621890547264594,-0.008680555555564351,-0.10000000000000919,-0.19044272663388084,0.8459132438883854,,,,,,,,,,,,34.64
1562788800,34.76,0.06061923026116034,1,-0.07633587786262352,-0.07633587786262352,-0.07633587786262352,-0.07633587786262352,-0.07633587786262352,-0.07633587786262352,-0.07633587786262352,-0.07633587786262352,,,,,,,,,,,,-0.6024464831804468,-0.19376391982184316,0.046153846153834,-0.100424328147112,-0.0725326991676678,-0.09622641509434915,-0.011314186248920333,-0.03774304231796621,-0.1187150837988914,0.8466076696165186,,,,,,,,,,,,34.76
1562850000,34.96,0.06433961377466346,1,0.29007633587784265,0.29007633587784265,0.29007633587784265,0.29007633587784265,0.29007633587784265,0.29007633587784265,0.29007633587784265,0.29007633587784265,0.011976047904154852,,,,,,,,,,,-0.2437500000000088,-0.09387755102041984,0.06688963210701315,0.03601108033240119,-0.050058207217704154,-0.01109057301294869,0.01692047377325756,0.00110091743118379,-0.05696636925189724,0.8473083197389881,,,,,,,,,,,,34.96
1562853600,34.87,0.06654223345008603,1,0.4656488549617983,0.4656488549617983,0.4656488549617983,0.4656488549617983,0.4656488549617983,0.4656488549617983,0.4656488549617983,0.4656488549617983,0.36654804270455466,,,,,,,,,,,0.27067669172932063,0.015037593984952746,0.04778156996586369,0.16413793103447527,-0.03321878579611426,0.10416666666665897,0.03887510339122535,0.06530463334548653,-0.015405224380449445,-0.1202872531418383,,,,,,,,,,,,34.87
1562857200,34.83,0.06734534794949099,1,0.5190839694656315,0.5190839694656315,0.5190839694656315,0.5190839694656315,0.5190839694656315,0.5190839694656315,0.5190839694656315,0.5190839694656315,0.5190839694656315,,,,,,,,,,,1,0.015037593984952746,0.07308970099666867,0.21917808219177304,0.0033821871476786836,0.1466414380321568,0.054515866558169535,0.11061946902653963,0.011340893929277396,-0.08564535585042943,,,,,,,,,,,,34.83
1562860800,35.525,0.0669619381683475,1,1,0.9503816793892932,0.9503816793892932,0.9503816793892932,0.9503816793892932,0.9503816793892932,0.9503816793892932,0.9503816793892932,0.9503816793892932,,,,,,,,,,,1,-0.050100200400807426,0.06060606060605256,0.23666210670314247,0.01345291479819899,0.13849092645653482,0.0268006700167438,0.13348247576434846,0.041524846834574136,-0.05086848635236407,0.8482736261954928,,,,,,,,,,,35.525
1562864400,35.92,0.06565866282021204,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,-0.012560386473435048,0.1618451915558976,0.280464216634424,0.1331476323119709,0.12554532234609117,0.07077169132346439,0.132512131392305,0.09387483355525261,0.012634822804308055,0.8489652668522323,,,,,,,,,,,35.92
1562868000,35.89,0.06372049638082444,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,0.288650580875784,0.2652501713502371,0.33373134328357823,0.2761310452418053,0.17888029130632122,0.17215285660233937,0.18255364052057166,0.15043695380773414,0.09224874742115419,0.8502340093603737,,,,,,,,,,,35.89
1562871600,35.38,0.061424172100835506,0.8915887850467319,0.9364731653888299,0.9378349410503766,0.9378349410503766,0.9378349410503766,0.9378349410503766,0.9378349410503766,0.9378349410503766,0.9378349410503766,0.9378349410503766,0.9378349410503766,,,,,,,,,,1,0.65572315882875,0.3682941531042756,0.3684210526315763,0.4073349633251788,0.22938914993591863,0.30107129663833976,0.22867573846663936,0.23201438848920253,0.15330913152750036,0.049022098044190665,,,,,,,,,,,35.38
1562875200,35.51,0.05902010918588729,0.47393364928911286,0.7235367372353756,0.7620578778135099,0.7620578778135099,0.7620578778135099,0.7620578778135099,0.7620578778135099,0.7620578778135099,0.7620578778135099,0.7620578778135099,0.7620578778135099,,,,,,,,,,0.8996539792387577,0.9397089397089411,0.3264311814859904,0.3411896745230054,0.4121687929342459,0.22363945578230737,0.3083209509658189,0.21541501976284128,0.24924012158054132,0.15492170022370777,0.06060606060605611,,,,,,,,,,,35.51
1562936400,35.35,0.05672084543552813,,0.3661360347322833,0.5305466237942165,0.5305466237942165,0.5305466237942165,0.5305466237942165,0.5305466237942165,0.5305466237942165,0.5305466237942165,0.5305466237942165,0.5305466237942165,,,,,,,,,,0.6563467492260133,0.7832031250000051,0.22749391727493817,0.2704471101417645,0.36527514231499003,0.18436213991769135,0.26058394160583487,0.1608437705998642,0.23497596153845746,0.15234374999999512,0.0671834625322949,0.8433773003712184,,,,,,,,,,35.35
1562940000,36,0.05469354963499029,0.13242009132423815,0.6806722689075813,0.7963558413719292,0.7963558413719292,0.7963558413719292,0.7963558413719292,0.7963558413719292,0.7963558413719292,0.7963558413719292,0.7963558413719292,0.7963558413719292,,,,,,,,,,0.3166926677067148,0.5714285714285774,0.11336515513126377,0.2135416666666652,0.291058394160582,0.181444991789816,0.17085798816567666,0.1209420751113901,0.1680722891566233,0.1330589849108319,0.06278950077199763,0.8355485646873768,,,,,,,,,,36
1562943600,36.035,0.0530545586657567,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,0.21081081081081932,0.5764023210831788,0.26284348864994467,0.2502482621648463,0.30313901345291416,0.26150121065375154,0.18531976744185763,0.1788617886178825,0.187168922895818,0.15935089119446255,0.10891590678824237,0.8363465602254048,,,,,,,,,,36.035
1562947200,35.47,0.051864975668522106,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,0.022321428571446367,0.580057526366258,0.47555555555555995,0.2947318462268629,0.29841986455982017,0.33814681107099775,0.19612764431695684,0.26148969889064744,0.20196475007223125,0.20718816067652956,0.1387441052370284,0.04629418472063551,,,,,,,,,,35.47
1562950800,35.55,0.05112748713219872,0.28853754940713383,0.6052631578947469,0.7849462365591444,0.8138572905894543,0.8138572905894543,0.8138572905894543,0.8138572905894543,0.8138572905894543,0.8138572905894543,0.8138572905894543,0.8138572905894543,0.8138572905894543,,,,,,,,,0.14221218961626714,0.5710088148873735,0.6882562277580109,0.2872901678657085,0.3015730337078657,0.3639661426844012,0.2107334525939153,0.2848484848484818,0.20609370508766678,0.2365389766943442,0.15352077631251193,0.06894166474521302,,,,,,,,,,35.55
1562954400,35.84,0.050785045008673535,-0.9999999999999339,-0.019762845849767285,0.6441379310344937,0.7331954498448865,0.7331954498448865,0.7331954498448865,0.7331954498448865,0.7331954498448865,0.7331954498448865,0.7331954498448865,0.7331954498448865,0.7331954498448865,,,,,,,,,0.12195121951220633,0.4366453965360142,0.5810169491525483,0.20477326968973864,0.24113785557986867,0.3223915592028146,0.17459215550156015,0.240990285177058,0.15581061692969667,0.22148716591690687,0.1489467162329583,0.07289979171487793,0.8307531137236639,,,,,,,,,35.84
1562958000,35.97,0.05072171710833828,0.5503875968992293,0.7707509881423027,0.9077901430842643,0.9400206825232698,0.9400206825232698,0.9400206825232698,0.9400206825232698,0.9400206825232698,0.9400206825232698,0.9400206825232698,0.9400206825232698,0.9400206825232698,,,,,,,,,0.32460732984294727,0.3196480938416517,0.5042735042735125,0.15257531584062445,0.23197219808862002,0.2960372960372968,0.20085166784953778,0.18988982501620089,0.1430192962542549,0.18422474338195438,0.1512292028805533,0.0862230552952179,0.8279869827986983,,,,,,,,,35.97
1562961600,35.81,0.05076583275246804,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,0.27932960893855663,0.23767798466594536,0.5000000000000078,0.26574803149606807,0.2546374367622277,0.29984544049459094,0.26375176304654424,0.19614147909967716,0.18897637795275335,0.19595314164004085,0.16978382317220997,0.1230840687412873,0.8286508181537511,,,,,,,,,35.81
1563195600,36.22,0.05069669771759777,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,0.15409836065573956,0.07569721115538908,0.48367952522255875,0.4234042553191535,0.2769485903814266,0.2809523809523822,0.31808434596140045,0.19198448610213115,0.2520231213872812,0.19808815719596184,0.20322817314746566,0.13982464236271075,0.05330490405116994,,,,,,,,,36.22
1563199200,35.975,0.050258067178411636,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,0.27731092436975024,0.20250000000000834,0.49492017416546497,0.6049943246311051,0.28583128583128703,0.2982184353214572,0.35306553911205074,0.218274111675125,0.2840778923253122,0.2127215849843569,0.2400977995109994,0.16361974405849766,0.0847890924584549,,,,,,,,,35.975
1563202800,35.95,0.049181990804662234,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,0.7089552238806016,0.340751043115443,0.4901098901098959,0.6006884681583529,0.26195514176893875,0.290246768507638,0.35903784931022353,0.2200698634487117,0.2772477594680518,0.19531041833199914,0.25376822337533755,0.18382523820589958,0.11004576160383217,0.8294996351906607,,,,,,,,35.95
1563206400,35.925,0.04722382414011861,-0.12380952380949439,0.5408560311284178,0.6902887139107767,0.8441215323646047,0.8922374429223792,0.8922374429223792,0.8922374429223792,0.8922374429223792,0.8922374429223792,0.8922374429223792,0.8922374429223792,0.8922374429223792,0.8922374429223792,,,,,,,,1,0.5962441314554052,0.45625000000000626,0.5809753160746598,0.24665226781857563,0.3091051191871832,0.3599434828682444,0.26764227642276284,0.2521687107388555,0.20126950542184407,0.23718110633998313,0.20214752567693428,0.13812154696132328,0.8296827649698875,,,,,,,,35.925
1563210000,36.22,0.044204024780178486,0.6610169491525475,0.9221789883268516,0.9475065616797935,0.9718706047819992,0.9817351598173527,0.9817351598173527,0.9817351598173527,0.9817351598173527,0.9817351598173527,0.9817351598173527,0.9817351598173527,0.9817351598173527,0.9817351598173527,0.9817351598173527,,,,,,,0.45370370370371527,0.344947735191647,0.27900797165634184,0.4937810945273713,0.28380782918150027,0.2712519319938198,0.3116975748930113,0.27719528178243835,0.21286831028262077,0.20413573700954202,0.2099697885196361,0.18393722594045459,0.13887660327288476,0.8255511328842622,,,,,,,,36.22
